Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge,Year
Tricks,Ellen Hopkins,,,,Tricks,Iowa,Carroll Community School District,August 2022,Banned Pending Investigation,Informal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge,2022-2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Duval County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Florida,Hernando County Schools,October 2022,Banned from Libraries and Classrooms,Administration,2022
Tricks,Ellen Hopkins,,,,Tricks,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge,2022-2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Martin County Schools,March 2023,Banned from Libraries and Classrooms,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Orange County Public Schools,May 2023,Banned from Libraries,Informal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Santa Rosa County District Schools,May 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,School District of Manatee County,July 2022,Banned from Libraries and Classrooms,Legislative Action,2022
Tricks,Ellen Hopkins,,,,Tricks,Florida,School District of Osceola County,March 2023,Banned from Libraries and Classrooms,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Seminole County Public Schools,October 2022,Banned from Libraries,Formal Challenge,2022
Tricks,Ellen Hopkins,,,,Tricks,Florida,Volusia County Schools,March 2023,Banned from Libraries and Classrooms,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Arkansas,Farmington Public Schools,March 2023,Banned from Libraries,Formal Challenge,2023
"Troublemaker for Justice: The Story of Bayard Rustin, the Man Behind the March on Washington",Jacqueline Houtman,"Naegle, Walter; Long, Michael G.",,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration,2022
True Notebooks: A Writer's Year at Juvenile Hall,Mark Salzman,,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
ttfn,Lauren Myracle,,,,Internet Girls,Utah,Alpine School District,November 2022,Banned from Libraries,Legislative Action,2022
ttfn,Lauren Myracle,,,,Internet Girls,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
ttfn,Lauren Myracle,,,,Internet Girls,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
ttfn,Lauren Myracle,,,,Internet Girls,Florida,Volusia County Schools,January 2023,Banned from Libraries,Administration,2023
ttyl,Lauren Myracle,,,,Internet Girls,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action,2022
ttyl,Lauren Myracle,,,,Internet Girls,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge,2022
ttyl,Lauren Myracle,,,,Internet Girls,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
ttyl,Lauren Myracle,,,,Internet Girls,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge,2022
ttyl,Lauren Myracle,,,,Internet Girls,Florida,Volusia County Schools,January 2023,Banned from Libraries,Administration,2023
Turtles All the Way Down,John Green,,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration,2022
Tweak: Growing up on Methamphetamines,Nic Sheff,,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
Twisted,Laurie Halse Anderson,,,,,Utah,Alpine School District,November 2022,Banned from Libraries,Legislative Action,2022
Twisted,Laurie Halse Anderson,,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge,2022-2023
Twisted,Laurie Halse Anderson,,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
Twisted,Laurie Halse Anderson,,,,,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge,2022
Twisted,Laurie Halse Anderson,,,,,Idaho,Kuna School District,February 2023,Banned Pending Investigation,Administration,2023
Twisted,Laurie Halse Anderson,,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge,2022
Twisted,Laurie Halse Anderson,,,,,Florida,Santa Rosa County District Schools,May 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Two Boys Kissing,David Levithan,,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge,2022
Two Boys Kissing,David Levithan,,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge,2022
Two Boys Kissing,David Levithan,,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge,2022-2023
Two Boys Kissing,David Levithan,,,,,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration,2023
Two Boys Kissing,David Levithan,,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge,2022
Two Boys Kissing,David Levithan,,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge,2022-2023
Two Boys Kissing,David Levithan,,,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration,2023
Two Degrees,Alan Gratz,,,,,Pennsylvania,Kutztown School District,January 2023,Banned from Classrooms,Informal Challenge,2023
Ugly Love,Colleen Hoover,,,,,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
Ugly Love,Colleen Hoover,,,,,Utah,Granite School District,October 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
Ultimate Magic,T. A. Barron,,,,Merlin Saga,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration,2022
Unbecoming: A Memoir of Disobedience,Anuradha Bhagwati,,,,,Texas,Frisco Independent School District,December 2022,Banned from Libraries and Classrooms,Administration,2022
Uncle Bobby's Wedding,Sarah Brannen,,"Soto, Lucia",,,Florida,Escambia County Public Schools,February 2023,Banned Pending Investigation,Formal Challenge,2023
Uncomfortable Conversations with a Black Boy,Emmanuel Acho,,,,,Florida,Clay County School District,September 2022,Banned from Libraries,Formal Challenge,2022
Uncomfortable Conversations with a Black Boy,Emmanuel Acho,,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge,2022
Under the Dome,Stephen King,,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
Understanding Sexual Orientation and Gender Identity,Robert Rodi,"Ross, Laura",,,Living Proud! Growing Up LGBTQ,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge,2022-2023
Unpregnant,Jenni Hendriks,"Caplan, Ted",,,,Missouri,Nixa Public Schools,June 2023,Banned from Libraries and Classrooms,Unclear,2023
Unpregnant,Jenni Hendriks,"Caplan, Ted",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Unravel Me,Tahereh Mafi,,,,Shatter Me,Virginia,Madison County Public Schools,January 2023,Banned from Libraries and Classrooms,Administration,2023
Unravel Me,Tahereh Mafi,,,,Shatter Me,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge,2022
Unravel Me,Tahereh Mafi,,,,Shatter Me,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Unravel Me,Tahereh Mafi,,,,Shatter Me,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration,2023
Unravel Me,Tahereh Mafi,,,,Shatter Me,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge,2022
Unravel Me,Tahereh Mafi,,,,Shatter Me,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge,2022
Unravel Me,Tahereh Mafi,,,,Shatter Me,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Unravel Me,Tahereh Mafi,,,,Shatter Me,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration,2023
Untamed (AGH),A. G. Howard,,,,Splintered,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration,2023
Vampire Academy,Richelle Mead,,,,Vampire Academy,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Vanishing Acts,Jodi Picoult,,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Vanishing Acts,Jodi Picoult,,,,,Florida,Escambia County Public Schools,March 2023,Banned Pending Investigation,Formal Challenge,2023
Vanishing Acts,Jodi Picoult,,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Verity,Colleen Hoover,,,,,Utah,Granite School District,October 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
Vermeer: The Astronomer,Federico Zeri,"Vermeer, Johannes; Dolcetta, Marco",,,One Hundred Paintings,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action,2022
Vessel (SBD),Sarah Beth Durst,,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
Victoria and the Rogue,Meg Cabot,,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration,2022
Violet and Daisy: The Story of Vaudeville's Famous Conjoined Twins,Sarah Miller,,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action,2022
Vision in White,Nora Roberts,,,,Bride Quartet,Florida,Martin County Schools,March 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Heather Corinna,,"Rotman, Isabella; Howard, Luke B.",,,Texas,Fort Worth Independent School District,June 2023,Banned from Libraries and Classrooms,Informal Challenge,2023
Walk Two Moons,Sharon Creech,,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration,2022
Wanderlust,Danielle Steel,,,,,Florida,Martin County Schools,March 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
War Storm,Victoria Aveyard,,,,Red Queen,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration,2022
Watch Over Me,Nina LaCour,,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration,2022
Watcher in the Woods: A Rockton Novel,Kelley Armstrong,,,,Rockton/Casey Duncan,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration,2022
Watchmen,Alan Moore,,"Gibbons, Dave",,Watchmen Comics,Missouri,Independence School District,October 2022,Banned from Libraries,Legislative Action,2022
Watchmen,Alan Moore,,"Gibbons, Dave",,Watchmen Comics,Missouri,Lindbergh Schools,November 2022,Banned from Libraries,Legislative Action,2022
Watchmen,Alan Moore,,"Gibbons, Dave",,Watchmen Comics,Missouri,Mehlville School District,August 2022,Banned from Libraries,Legislative Action,2022
Watchmen,Alan Moore,,"Gibbons, Dave",,Watchmen Comics,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action,2022
Watchmen,Alan Moore,,"Gibbons, Dave",,Watchmen Comics,Missouri,Webster Groves School District,September 2022,Banned from Libraries,Legislative Action,2022
Watchmen,Alan Moore,,"Gibbons, Dave",,Watchmen Comics,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action,2022
Watchmen,Alan Moore,,"Gibbons, Dave",,Watchmen Comics,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Watchmen,Alan Moore,,"Gibbons, Dave",,Watchmen Comics,Florida,Escambia County Public Schools,May 2023,Banned Pending Investigation,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Virginia,Hanover County Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Virginia,Spotsylvania County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration,2023
Water for Elephants,Sara Gruen,,,,,Utah,Canyons School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge,2022-2023
Water for Elephants,Sara Gruen,,,,,Utah,Davis School District,March 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Utah,Granite School District,October 2022,Banned Pending Investigation,Formal Challenge,2022
Water for Elephants,Sara Gruen,,,,,Utah,Washington County School District,June 2023,Banned Pending Investigation,Administration,2023
Water for Elephants,Sara Gruen,,,,,Texas,Keller Independent School District,April 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge,2022
Water for Elephants,Sara Gruen,,,,,Pennsylvania,Penncrest School District,February 2023,Banned from Libraries and Classrooms,Administration,2023
Water for Elephants,Sara Gruen,,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Michigan,Chippewa Valley Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Florida,Brevard Public Schools,November 2022,Banned Pending Investigation,Formal Challenge,2022
Water for Elephants,Sara Gruen,,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge,2022-2023
Water for Elephants,Sara Gruen,,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge,2022
Water for Elephants,Sara Gruen,,,,,Florida,Highlands Schools,March 2023,Banned from Libraries and Classrooms,Administration,2023
Water for Elephants,Sara Gruen,,,,,Florida,Orange County Public Schools,May 2023,Banned from Libraries and Classrooms,Informal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Florida,Santa Rosa County District Schools,June 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Florida,St. John's County School District,January 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
Wayfarer,Alexandra Bracken,,,,Passenger,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration,2023
Ways to Live Forever,Sally Nicholls,,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
Wayward Son,Rainbow Rowell,,,,Simon Snow,Florida,Clay County School District,July 2022,Banned Pending Investigation,Formal Challenge,2022
We Are Here to Stay: Voices of Undocumented Young Adults,Susan Kuklin,,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
We Are Not From Here,Jenny Torres Sanchez,,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
We Are Not Your Equal: Understanding Our Racial Divide,Carol Anderson,"Bolden, Tonya",,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge,2022
We Are Not Your Equal: Understanding Our Racial Divide,Carol Anderson,"Bolden, Tonya",,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration,2023
We Are Okay,Nina LaCour,,,,,Michigan,Davison Community Schools,August 2022,Banned from Libraries and Classrooms,Informal Challenge,2022
We Are Okay,Nina LaCour,,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
We Are the Ants,Shaun David Hutchinson,,,,,Utah,Alpine School District,November 2022,Banned from Libraries,Legislative Action,2022
We Are the Ants,Shaun David Hutchinson,,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries,Formal Challenge,2022
We Are the Ants,Shaun David Hutchinson,,,,,Florida,Clay County School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
We Are the Ants,Shaun David Hutchinson,,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge,2022
We Can't Be Friends: A True Story,Cyndy Drew Etler,,,,,Texas,Frisco Independent School District,December 2022,Banned from Libraries and Classrooms,Administration,2022
We March,Shane W. Evans,,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge,2022
"We Rise, We Resist, We Raise our Voices",Wade Hudson,"Hudson, Cheryl Willis",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
We Were Liars,E. Lockhart,,,,We Were Liars,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
We'll Always Have Summer,Jenny Han,,,,Summer,Texas,Frisco Independent School District,November 2022,Banned from Libraries,Administration,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Wyoming,Park County School District #1,February 2023,Banned Pending Investigation,Administration,2023
What Girls Are Made Of,Elana K. Arnold,,,,,Virginia,Spotsylvania County Public Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
What Girls Are Made Of,Elana K. Arnold,,,,,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Utah,Jordan School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge,2022-2023
What Girls Are Made Of,Elana K. Arnold,,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Texas,Belton Independent School District,September 2022,Banned Pending Investigation,Formal Challenge,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration,2023
What Girls Are Made Of,Elana K. Arnold,,,,,Texas,Katy Independent School District,September 2022,Banned from Libraries and Classrooms,Administration,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge,2022
What Girls Are Made Of,Elana K. Arnold,,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration,2023
What Girls Are Made Of,Elana K. Arnold,,,,,Michigan,St. Joseph Public Schools,September 2022,Banned Pending Investigation,Informal Challenge,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge,2022
What Girls Are Made Of,Elana K. Arnold,,,,,Florida,Flagler Schools,April 2023,Banned from Libraries and Classrooms,Formal Challenge,2023
What Goes Around,Denene Millner,"Miller, Mitzi",,,Hotlanta,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration,2022
What My Mother Doesn't Know,Sonya Sones,,,,What My Mother Doesn't Know,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration,2023
What My Mother Doesn't Know,Sonya Sones,,,,What My Mother Doesn't Know,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge,2022-2023
What on Earth Is a Pangolin?,Edward R. Ricciuti,,,,,Florida,School District of Manatee County,June 2023,Banned from Libraries and Classrooms,Administration,2023
What Riley Wore,Elana K. Arnold,,,,,South Carolina,Horry County Schools,November 2022,Banned from Libraries,Informal Challenge,2022
What to Do When I'm Gone: A Mother's Wisdom to Her Daughter,Suzy Hopkins,,"Bateman, Hallie",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action,2022
What Was Stonewall?,Nico Medina,,"Murray, Jake",,What was...?,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge,2022-2023
What We Saw,Aaron Hartzler,,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Informal Challenge,2022
When Aidan Became a Brother,Kyle Lukoff,,"Juanita, Kaylani",,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge,2022
When Aidan Became a Brother,Kyle Lukoff,,"Juanita, Kaylani",,,Florida,School District of Manatee County,July 2022,Banned from Libraries and Classrooms,Legislative Action,2022
When Aidan Became a Brother,Kyle Lukoff,,"Juanita, Kaylani",,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action,2022
